Results Table 1
,Maximum Load
,(lbf)
"1","980.72"

Time,Elongation,Load
(s),(in),(lbf)
"9.3200","0.0374","358.1898"
"9.3400","0.0375","358.8195"
"9.3600","0.0375","359.4135"
"9.3800","0.0376","359.9904"
"9.4000","0.0377","360.6803"
"9.4200","0.0377","361.3994"
"9.4400","0.0378","362.0757"
"9.4600","0.0379","362.6919"
"9.4800","0.0379","363.2092"
"9.5000","0.0380","363.7489"
"9.5200","0.0381","364.3900"
"9.5400","0.0381","365.1328"
"9.5600","0.0382","365.8073"
"9.5800","0.0383","366.4056"
"9.6000","0.0383","366.9635"
"9.6200","0.0384","367.5036"
"9.6400","0.0385","368.0601"
"9.6600","0.0385","368.6573"
"9.6800","0.0386","369.3215"
"9.7000","0.0387","369.9641"
"9.7200","0.0387","370.5456"
"9.7400","0.0388","371.0995"
"9.7600","0.0389","371.6511"
"9.7800","0.0389","372.2247"
"9.8000","0.0390","372.8545"
"9.8200","0.0391","373.5097"
"9.8400","0.0391","374.1156"
"9.8600","0.0392","374.7014"
"9.8800","0.0393","375.2552"
"9.9000","0.0393","375.7359"
"9.9200","0.0394","376.2382"
"9.9400","0.0395","376.8577"
"9.9600","0.0395","377.5182"
"9.9800","0.0396","378.1309"
"10.0000","0.0397","378.6482"
"10.0200","0.0397","379.1053"
"10.0400","0.0398","379.6118"
"10.0600","0.0399","380.2345"
"10.0800","0.0399","380.9138"
"10.1000","0.0400","381.5213"
"10.1200","0.0401","382.0242"
"10.1400","0.0401","382.5009"
"10.1600","0.0402","382.9671"
"10.1800","0.0403","383.4627"
"10.2000","0.0403","384.0280"
"10.2200","0.0404","384.6783"
"10.2400","0.0405","385.2696"
"10.2600","0.0405","385.8044"
"10.2800","0.0406","386.2912"
"10.3000","0.0407","386.7146"
"10.3200","0.0407","387.1921"
"10.3400","0.0408","387.7355"
"10.3600","0.0409","388.3408"
"10.3800","0.0409","388.9147"
"10.4000","0.0410","389.4582"
"10.4200","0.0411","389.9358"
"10.4400","0.0411","390.3091"
"10.4600","0.0412","390.7317"
"10.4800","0.0413","391.3388"
"10.5000","0.0413","392.0140"
"10.5200","0.0414","392.5771"
"10.5400","0.0415","392.9895"
"10.5600","0.0415","393.3658"
"10.5800","0.0416","393.7786"
"10.6000","0.0417","394.3155"
"10.6200","0.0417","394.9328"
"10.6400","0.0418","395.4992"
"10.6600","0.0419","395.9829"
"10.6800","0.0419","396.4311"
"10.7000","0.0420","396.8520"
"10.7200","0.0421","397.2689"
"10.7400","0.0421","397.7477"
"10.7600","0.0422","398.3382"
"10.7800","0.0423","398.9255"
"10.8000","0.0423","399.4413"
"10.8200","0.0424","399.8670"
